Code	Display
50190-8	Iron and Iron binding capacity panel - Serum or Plasma
14800-7	Iron binding capacity [Moles/volume] in Serum or Plasma
2500-7	Iron binding capacity [Mass/volume] in Serum or Plasma
22753-8	Iron binding capacity.unsaturated [Moles/volume] in Serum or Plasma
2501-5	Iron binding capacity.unsaturated [Mass/volume] in Serum or Plasma
14801-5	Iron saturation [Molar fraction] in Serum or Plasma
2502-3	Iron saturation [Mass Fraction] in Serum or Plasma
2498-4	Iron [Mass/volume] in Serum or Plasma
44326-7	Iron [Presence] in Serum or Plasma
14798-3	Iron [Moles/volume] in Serum or Plasma
34442-4	Bilirubin.conjugated/Bilirubin.total in Serum or Plasma
35672-5	Bilirubin.direct/Bilirubin.total in Serum or Plasma
14631-6	Bilirubin.total [Moles/volume] in Serum or Plasma
1975-2	Bilirubin.total [Mass/volume] in Serum or Plasma
77137-8	Bilirubin.total [Moles/volume] in Serum, Plasma or Blood
50189-0	Neonatal bilirubin panel [Mass/volume] - Serum or Plasma
78961-0	IgG clearance/Albumin clearance [Ratio] in Urine and Serum or Plasma
1754-1	Albumin [Mass/volume] in Urine
1753-3	Albumin [Presence] in Urine
50949-7	Albumin [Presence] in Urine by Test strip
6942-7	Albumin [Mass/volume] in Urine by Electrophoresis
77158-4	Albumin [Moles/volume] in Urine by Detection limit <= 3.0 mg/L
14957-5	Microalbumin [Mass/volume] in Urine
53531-0	Microalbumin [Mass/volume] in Urine by Detection limit <= 1.0 mg/L
11218-5	Microalbumin [Mass/volume] in Urine by Test strip
95232-5	Microalbumin [Presence] in Urine by Test strip
1755-8	Albumin [Mass/time] in 24 hour Urine
89999-7	Albumin [Mass/volume] in Urine by Detection limit <= 3.0 mg/L
9318-7	Albumin/Creatinine [Mass Ratio] in Urine
1916-6	Aspartate aminotransferase/Alanine aminotransferase [Enzymatic activity ratio] in Serum or Plasma
16325-3	Alanine aminotransferase/Aspartate aminotransferase [Enzymatic activity ratio] in Serum or Plasma
2325-9	Gamma glutamyl transferase/Aspartate aminotransferase [Enzymatic activity ratio] in Serum or Plasma
1920-8	Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma
44786-2	Aspartate aminotransferase [Enzymatic activity/volume] (Maximum value during study) in Serum or Plasma
30239-8	Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma by With P-5'-P
88112-8	Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma by No addition of P-5'-P
48136-6	Aspartate aminotransferase.macromolecular [Enzymatic activity/volume] in Serum or Plasma
54500-4	Aspartate aminotransferase.macromolecular/Aspartate aminotransferase.total in Serum or Plasma
76625-3	Alanine aminotransferase [Enzymatic activity/volume] in Blood
16324-6	Alanine aminotransferase [Enzymatic activity/volume] in Red Blood Cells
96586-3	Alanine aminotransferase [Enzymatic activity/volume] in DBS
77144-4	Alanine aminotransferase [Enzymatic activity/volume] in Serum, Plasma or Blood
48134-1	Alanine aminotransferase.macromolecular [Enzymatic activity/volume] in Serum or Plasma
1742-6	Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma
1743-4	Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by With P-5'-P
1744-2	Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by No addition of P-5'-P
44785-4	Alanine aminotransferase [Enzymatic activity/volume] (Maximum value during study) in Serum or Plasma by No addition of P-5'-P
14119-2	Lactate dehydrogenase 1/Lactate dehydrogenase 2 [Enzymatic activity ratio] in Serum or Plasma
2540-3	Lactate dehydrogenase 2 [Enzymatic activity/volume] in Serum or Plasma
2549-4	Lactate dehydrogenase 5 [Enzymatic activity/volume] in Serum or Plasma
2537-9	Lactate dehydrogenase 1 [Enzymatic activity/volume] in Serum or Plasma
2543-7	Lactate dehydrogenase 3 [Enzymatic activity/volume] in Serum or Plasma
2546-0	Lactate dehydrogenase 4 [Enzymatic activity/volume] in Serum or Plasma
14804-9	Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma by Lactate to pyruvate reaction
14805-6	Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma by Pyruvate to lactate reaction
2541-1	Lactate dehydrogenase 3 [Enzymatic activity/volume] in Serum or Plasma by Chemical separation
2544-5	Lactate dehydrogenase 4 [Enzymatic activity/volume] in Serum or Plasma by Chemical separation
2547-8	Lactate dehydrogenase 5 [Enzymatic activity/volume] in Serum or Plasma by Chemical separation
2535-3	Lactate dehydrogenase 1 [Enzymatic activity/volume] in Serum or Plasma by Chemical separation
2538-7	Lactate dehydrogenase 2 [Enzymatic activity/volume] in Serum or Plasma by Chemical separation
19248-4	Lactate dehydrogenase 2 [Enzymatic activity/volume] in Serum or Plasma by Electrophoresis
93905-8	ABO group [Type] in Blood--during infancy
883-9	ABO group [Type] in Blood
14580-5	ABO group [Type] in Blood from Newborn
882-1	ABO and Rh group [Type] in Blood
57743-7	ABO group [Type] in Blood by Confirmatory method
51892-8	ABO group [Type] in Cord blood
93906-6	ABO and Rh group [Type] in Blood--during infancy
44086-7	ABO and Rh group [Interpretation] in Blood from Newborn
77397-8	ABO and Rh group [Type] in Blood by Confirmatory method
19057-9	ABO and Rh group [Type] in Blood from Newborn
884-7	ABO and Rh group [Type] in Capillary blood
54417-1	ABO and Rh group [Type] in Blood from Fetus
34474-7	ABO and Rh group [Type] in Cord blood
1303-7	Reverse ABO group [Type]
54416-3	Rh [Type] in Blood from Fetus
14906-2	Rh [Type] in Cord blood
13225-8	Cytomegalovirus IgG Ab [Units/volume] in Serum or Plasma --1st specimen
16714-8	Cytomegalovirus Ab [Units/volume] in Serum by Latex agglutination
16715-5	Cytomegalovirus IgG Ab [Units/volume] in Serum or Plasma by Immunofluorescence
16716-3	Cytomegalovirus IgG Ab [Units/volume] in Serum or Plasma by Immunoassay --2nd specimen
22241-4	Cytomegalovirus Ab [Titer] in Serum or Plasma
22246-3	Cytomegalovirus IgG Ab [Titer] in Serum or Plasma
22247-1	Cytomegalovirus IgG Ab [Units/volume] in Serum or Plasma --2nd specimen
22249-7	Cytomegalovirus IgM Ab [Titer] in Serum or Plasma
