Code	Display
117055	alemtuzumab
284679	Campath
1594659	Lemtrada
828267	1 ML alemtuzumab 30 MG/ML Injection [Campath]
1594663	1.2 ML alemtuzumab 10 MG/ML Injection [Lemtrada]
1594657	alemtuzumab 10 MG/ML
1594660	alemtuzumab 10 MG/ML [Lemtrada]
1656640	alemtuzumab 10 MG/ML Injection [Lemtrada]
1656628	alemtuzumab 30 MG/ML
1656631	alemtuzumab 30 MG/ML [Campath]
1656635	alemtuzumab 30 MG/ML Injection [Campath]
1164265	alemtuzumab Injectable Product
1656629	alemtuzumab Injection
1656632	alemtuzumab Injection [Campath]
1656637	alemtuzumab Injection [Lemtrada]
1172298	Campath Injectable Product
1594662	Lemtrada Injectable Product
1204	ATGAM
1011	lymphocyte immune globulin, anti-thymocyte globulin
225741	Thymoglobulin
91601	lymphocyte immune globulin, anti-thymocyte globulin, equine
206289	5 ML lymphocyte immune globulin, anti-thymocyte globulin, equine 50 MG/ML Injection [ATGAM]
1165939	ATGAM Injectable Product
2282515	lymphocyte immune globulin, anti-thymocyte globulin Injectable Product
2282516	lymphocyte immune globulin, anti-thymocyte globulin Injection
2282519	lymphocyte immune globulin, anti-thymocyte globulin Injection [ATGAM]
2282528	lymphocyte immune globulin, anti-thymocyte globulin Injection [Thymoglobulin]
2282514	lymphocyte immune globulin, anti-thymocyte globulin, equine 50 MG/ML
2282518	lymphocyte immune globulin, anti-thymocyte globulin, equine 50 MG/ML [ATGAM]
1870646	lymphocyte immune globulin, anti-thymocyte globulin, equine 50 MG/ML Injection [ATGAM]
2282525	rabbit anti-human T-lymphocyte globulin 25 MG
2282527	rabbit anti-human T-lymphocyte globulin 25 MG [Thymoglobulin]
107050	rabbit anti-human T-lymphocyte globulin 25 MG Injection [Thymoglobulin]
1177887	Thymoglobulin Injectable Product
358258	bortezomib
356733	Velcade
1804993	bortezomib 3.5 MG
1804996	bortezomib 3.5 MG [Velcade]
402244	bortezomib 3.5 MG Injection [Velcade]
1163075	bortezomib Injectable Product
1804994	bortezomib Injection
1804997	bortezomib Injection [Velcade]
1187756	Velcade Injectable Product
1828	busulfan
284676	Busulfex
203010	Myleran
284425	10 ML busulfan 6 MG/ML Injection [Busulfex]
332701	busulfan 0.5 MG
564077	busulfan 0.5 MG [Myleran]
105550	busulfan 0.5 MG Oral Tablet [Myleran]
317620	busulfan 2 MG
564078	busulfan 2 MG [Myleran]
105551	busulfan 2 MG Oral Tablet [Myleran]
315503	busulfan 6 MG/ML
574864	busulfan 6 MG/ML [Busulfex]
1729356	busulfan 6 MG/ML Injection [Busulfex]
1151374	busulfan Injectable Product
1729351	busulfan Injection
1729353	busulfan Injection [Busulfex]
1151375	busulfan Oral Product
371165	busulfan Oral Tablet
368542	busulfan Oral Tablet [Myleran]
1151376	busulfan Pill
1168702	Busulfex Injectable Product
1185666	Myleran Oral Product
1185667	Myleran Pill
2105	carmustine
343027	BiCNU
217357	Gliadel
1173621	BiCNU Injectable Product
1729367	carmustine 100 MG
1729370	carmustine 100 MG [BiCNU]
105552	carmustine 100 MG Injection [BiCNU]
337509	carmustine 3.3 MG/ML
564079	carmustine 3.3 MG/ML [BiCNU]
596881	carmustine 3.3 MG/ML Injectable Solution [BiCNU]
340520	carmustine 7.7 MG
378774	carmustine Drug Implant
1151413	carmustine Drug Implant Product
1151727	carmustine Injectable Product
370496	carmustine Injectable Solution
491188	carmustine Injectable Solution [BiCNU]
1729368	carmustine Injection
1729371	carmustine Injection [BiCNU]
3002	cyclophosphamide
202589	Cytoxan
202588	Endoxana
1545988	cyclophosphamide anhydrous
221085	cyclophosphamide lyophilized
1156180	cyclophosphamide / mannitol Injectable Product
377238	cyclophosphamide / mannitol Injectable Solution
358855	cyclophosphamide 10 MG
563185	cyclophosphamide 10 MG [Endoxana]
102948	cyclophosphamide 10 MG Oral Tablet [Endoxana]
438828	cyclophosphamide 10 MG/ML
1734918	cyclophosphamide 1000 MG
329664	cyclophosphamide 20 MG/ML
2386858	cyclophosphamide 200 MG/ML
1734920	cyclophosphamide 2000 MG
315746	cyclophosphamide 25 MG
571074	cyclophosphamide 25 MG [Cytoxan]
210570	cyclophosphamide 25 MG Oral Tablet [Cytoxan]
438830	cyclophosphamide 5 MG/ML
315747	cyclophosphamide 50 MG
571139	cyclophosphamide 50 MG [Cytoxan]
564082	cyclophosphamide 50 MG [Endoxana]
210639	cyclophosphamide 50 MG Oral Tablet [Cytoxan]
105555	cyclophosphamide 50 MG Oral Tablet [Endoxana]
1734915	cyclophosphamide 500 MG
438831	cyclophosphamide 7.5 MG/ML
1156181	cyclophosphamide Injectable Product
376666	cyclophosphamide Injectable Solution
1734916	cyclophosphamide Injection
1437967	cyclophosphamide Oral Capsule
1156182	cyclophosphamide Oral Product
371664	cyclophosphamide Oral Tablet
367922	cyclophosphamide Oral Tablet [Cytoxan]
368546	cyclophosphamide Oral Tablet [Endoxana]
1156183	cyclophosphamide Pill
1174493	Cytoxan Oral Product
1174494	Cytoxan Pill
1176602	Endoxana Oral Product
1176603	Endoxana Pill
690313	cyclophosphamide / mannitol
151319	Alexan
3041	cytarabine
151577	Cytosar
220177	Tarabine PFS
196337	DepoCyt
1942744	Vyxeos
1175506	Alexan Injectable Product
2285813	cytarabine / daunorubicin Injectable Product
2285807	cytarabine / daunorubicin Injection
331779	cytarabine 100 MG/ML
332422	cytarabine 20 MG/ML
564102	cytarabine 20 MG/ML [Alexan]
564515	cytarabine 20 MG/ML [Cytosar]
572983	cytarabine 20 MG/ML [Tarabine PFS]
105580	cytarabine 20 MG/ML Injectable Solution [Alexan]
108359	cytarabine 20 MG/ML Injectable Solution [Cytosar]
213044	cytarabine 20 MG/ML Injectable Solution [Tarabine PFS]
333668	cytarabine 50 MG/ML
564516	cytarabine 50 MG/ML [Cytosar]
108360	cytarabine 50 MG/ML Injectable Solution [Cytosar]
1151483	cytarabine Injectable Product
371676	cytarabine Injectable Solution
362596	cytarabine Injectable Solution [Alexan]
363023	cytarabine Injectable Solution [Cytosar]
362991	cytarabine Injectable Solution [Tarabine PFS]
544939	cytarabine Injectable Suspension
1731354	cytarabine Injection
968805	cytarabine liposome 10 MG/ML
1942738	cytarabine liposome 100 MG
1174486	Cytosar Injectable Product
1179037	Tarabine PFS Injectable Product
2017575	cytarabine / daunorubicin
1311089	defibrotide
1746523	defibrotide sodium
1746528	Defitelio
1788946	defibrotide, bovine lung
1746532	2.5 ML defibrotide sodium 80 MG/ML Injection [Defitelio]
1746525	defibrotide Injectable Product
1746526	defibrotide Injection
1746530	defibrotide Injection [Defitelio]
1746524	defibrotide sodium 80 MG/ML
1746529	defibrotide sodium 80 MG/ML [Defitelio]
1746534	defibrotide sodium 80 MG/ML Injection [Defitelio]
1746531	Defitelio Injectable Product
4179	etoposide
220347	Toposar
203058	Vepesid
274342	Etopophos
451835	etoposide 10 MG/ML
329753	etoposide 100 MG
564108	etoposide 100 MG [Vepesid]
105593	etoposide 100 MG Oral Capsule [Vepesid]
315912	etoposide 20 MG/ML
567639	etoposide 20 MG/ML [Toposar]
567640	etoposide 20 MG/ML [Vepesid]
206831	etoposide 20 MG/ML Injectable Solution [Toposar]
206832	etoposide 20 MG/ML Injectable Solution [Vepesid]
315913	etoposide 50 MG
564107	etoposide 50 MG [Vepesid]
